Name,Perm Id,Ric,STS,Tanker Zone,Type
Le Havre - Berth 2,77309844647,C}TS7309844647,0,N/A,BERTH
Le Havre - Berth 3,77309844648,C}TS7309844648,0,N/A,BERTH
Le Havre - Berth 4,77309844649,C}TS7309844649,0,N/A,BERTH
Le Havre - Berth 5,77309844650,C}TS7309844650,0,N/A,BERTH
Le Havre - Berth 6,77309844653,C}TS7309844653,0,N/A,BERTH
Le Havre - Berth 7,77309844654,C}TS7309844654,0,N/A,BERTH
Le Havre - Berth 9,77309844655,C}TS7309844655,0,N/A,BERTH
Le Havre - Berth1 TBN,77309828303,C}TS7309828303,0,N/A,BERTH
Le Havre - Berth2 TBN,77309828304,C}TS7309828304,0,N/A,BERTH
Le Havre - Berth3 TBN,77309828306,C}TS7309828306,0,N/A,BERTH
Le Havre Anchorage,77309542697,C}TS7309542697,0,N/A,ANCHORAGE
Le Havre Gas Terminal,77309759510,C}TS7309759510,0,N/A,BERTH
Le Havre LPG Terminal,77309759511,C}TS7309759511,0,N/A,BERTH
Le Port,77309542672,C}TS7309542672,0,East Africa,PORT
Le Port Terminal,77309826050,C}TS7309826050,0,N/A,BERTH
Le Treport,77309532524,C}TS7309532524,0,UK Continent,PORT
Le Verdon,77309538953,C}TS7309538953,0,Bilbao,PORT
Le Verdon Container Terminal (generic name),77309541398,C}TS7309541398,0,N/A,BERTH
Leatransa Terminal - Fluids Jetty (Castellon),77309830028,C}TS7309830028,0,N/A,BERTH
Lecureur 120000MT Grain Terminal,77309540212,C}TS7309540212,0,N/A,BERTH
Leer,77309532950,C}TS7309532950,0,UK Continent,PORT
Lefkandi,77309542973,C}TS7309542973,0,Greece,PORT
Legaspi,77309532782,C}TS7309532782,0,Manila,PORT
Legazpi,77309531452,C}TS7309531452,0,Manila,PORT
Leghorn,77309532627,C}TS7309532627,0,W Coast Italy,PORT
Legou Ore Wharves (Qinzhou),77309761289,C}TS7309761289,0,N/A,BERTH
Legou Wharf Extension (Qinzhou),77309868140,C}TS7309868140,0,N/A,BERTH
Lehigh Cement Delta Plant,77309540314,C}TS7309540314,0,N/A,BERTH
Lehigh Cement Terminal (Norfolk),77309839197,C}TS7309839197,0,N/A,BERTH
Leith,77309534586,C}TS7309534586,0,North Sea,PORT
Leixoes,77309531662,C}TS7309531662,0,Portugal,PORT
Leixoes 2S,77309838325,C}TS7309838325,0,N/A,BERTH
Leixoes Oil Berth A,77309824362,C}TS7309824362,0,N/A,BERTH
Leixoes Oil Berth B,77309824363,C}TS7309824363,0,N/A,BERTH
Leixoes Oil Berth C,77309824364,C}TS7309824364,0,N/A,BERTH
Leixoes South Mole,77309824365,C}TS7309824365,0,N/A,BERTH
Lekki,77309539160,C}TS7309539160,0,West Africa,PORT
Lembar,77309531949,C}TS7309531949,0,Lawi-Lawi Terminal,PORT
Lemmer,77309536798,C}TS7309536798,0,UK Continent,PORT
Lemont,77309534309,C}TS7309534309,0,E Coast Canada,PORT
Lennox Platform,77309643027,C}TS7309643027,0,N/A,BERTH
Leonis FSO (Vega),77309823618,C}TS7309823618,0,Malta,PORT
Leopold-II-Dam Roro and Ferry Berths,77309540789,C}TS7309540789,0,N/A,BERTH
Lerwick,77309542665,C}TS7309542665,0,North Sea,PORT
Lerwick North Anchorage,77309542667,C}TS7309542667,0,N/A,ANCHORAGE
Lerwick South Anchorage (STS Area),77309542666,C}TS7309542666,1,N/A,ANCHORAGE
Les Cayes,77309536804,C}TS7309536804,0,Bahamas,PORT
"Les Escoumins Anchorage (St. Lawrence, Quebec)",77309791383,C}TS7309791383,0,N/A,ANCHORAGE
Les Sables d'Olonne,77309534656,C}TS7309534656,0,Bilbao,PORT
Leticia,77309536808,C}TS7309536808,0,Belem,PORT
Levanger,77309536811,C}TS7309536811,0,North Sea,PORT
Levant Oil Cogico Terminal (Jiyeh),77309851634,C}TS7309851634,0,N/A,BERTH
"Levin-Richmond Terminal (Richmond, CA)",77309864232,C}TS7309864232,0,N/A,BERTH
Leviy Bereg (test),77309531133,C}TS7309531133,0,North Sea,PORT
Lewes,77309536814,C}TS7309536814,0,US Atlantic Coast,PORT
Lewisporte,77309535480,C}TS7309535480,0,Quebec,PORT
Lhokseumawe,77309531956,C}TS7309531956,0,Singapore,PORT
Lhokseumawe - Blang Lancang Harbour,77309532427,C}TS7309532427,0,N/A,BERTH
Lhokseumawe - Blang Lancang Harbour - Berth 2 (LNG),77309557192,C}TS7309557192,0,N/A,BERTH
Lhokseumawe - Blang Lancang Harbour - Berth 3 (LNG),77309557193,C}TS7309557193,0,N/A,BERTH
Lhokseumawe - Blang Lancang Harbour - Berth 4 (LPG),77309557194,C}TS7309557194,0,N/A,BERTH
Lhokseumawe - Krueng Geukah Harbour,77309534641,C}TS7309534641,0,N/A,BERTH
Lhokseumawe - Krueng Geukah Harbour - Berth A (Fertilizer),77309557195,C}TS7309557195,0,N/A,BERTH
Lhokseumawe-Krueng Geukah Harbour-PIM Berths (Fertiliser),77309557196,C}TS7309557196,0,N/A,BERTH
Liangtan Ore Terminal,77309765058,C}TS7309765058,0,N/A,BERTH
Lianyungang,77309534334,C}TS7309534334,0,Korea,PORT
Lianyungang - Berth1 TBN,77309828282,C}TS7309828282,0,N/A,BERTH
Lianyungang Anchorage,77309542848,C}TS7309542848,0,N/A,ANCHORAGE
Lianyungang Coal Terminal,77309539961,C}TS7309539961,0,N/A,BERTH
Lianyungang LPG Terminal,77309542051,C}TS7309542051,0,N/A,BERTH
